Option,Hazards,Assets,Action Type,Sub-Action Type,Source Plan,URL,Toolkit Case Study
Regulate new development and substantial rehabilitation in the Wildfire Lands Overlay part of the urban growth boundary ,Wildfire,Property,"""Policy, Codes, & Standards""",Building Codes,Ashland Climate and Energy Action Plan,https://ashlandor.org/wp-content/uploads/Ashland-Climate-and-Energy-Action-Plan_pages.pdf,https://toolkit.climate.gov/case-studies/ashland-climate-and-energy-action-plan
Relocate facilities in the floodplain that provide critical public services.,"Flooding – Coastal,Flooding – General,Flooding – Rainfall-induced",Critical Facilities,"""Managed Retreat, Relocation, & Buyout""",Relocation,"Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
"Relocate fire, emergency, etc. operations to areas more protected from extreme events.",Multiple or All Hazards,Critical Facilities,"""Managed Retreat, Relocation, & Buyout""",Relocation,"West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
"Relocate key food infrastructure, like distribution centers, in the floodplain to a safer location outside of the floodplain.","Flooding – Coastal,Flooding – General,Flooding – Rainfall-induced",Agriculture and Food Supply,"""Health, Wellness, & Security""",Food Security,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Remove all habitable structures and prevent new development of habitable structures in the floodway.,Flooding – General,"Critical Facilities,Property","""Managed Retreat, Relocation, & Buyout""",Buyouts,Resilient Houston,https://www.houstontx.gov/mayor/Resilient-Houston-20200402-single-page.pdf,https://toolkit.climate.gov/case-studies/resilient-houston-0
"Replace asphalt and concrete with bricks (i.e., permeable pavers) on roads and walkways to allow water to pass through.","Flooding – General,Flooding – Rainfall-induced","Transportation and Mobility,Urban Landscape and Tree Canopy",Capital Improvements - Green & Gray Infrastructure,Enhance Pavement,"Atlanta, Georgia",,
"Replace older bridges and elevate them, if needed. If elevation isn't possible, explore other design solutions.","Flooding – General,Flooding – Rainfall-induced",Transportation and Mobility,Capital Improvements - Green & Gray Infrastructure,Enhance Bridges & structures,"Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
"Replace or rehabilitate water and wastewater pipes to maintain a state of good repair, minimize breaks and ensure structural integrity in the face of climate change hazards such as flooding. ",Flooding – General,"Water Infrastructure – Drinking Water,Water Infrastructure – General",Capital Improvements - Green & Gray Infrastructure,Water Infrastructure,Climate Resilient San Diego,https://www.sandiego.gov/sites/default/files/crsd_final_plan_with_appendices.pdf,https://toolkit.climate.gov/case-studies/climate-resilient-san-diego-1
"Report any hazardous conditions such as downed power lines, hazardous materials (HAZMAT) spills, and natural gas leaks to the proper authorities, as well as the Debris Clearing Task Force Leader.",Flooding – General,Energy and Utilities,Preparedness & Response,Emergency Management,"Tompkins County, NY Resiliency and Recovery Plan",https://www.tompkinscountyny.gov/files2/planning/Climate_Adaptation/RRP_Full_Plan_Updated_9_27_22.pdf,https://toolkit.climate.gov/case-studies/tompkins-county-ny-resiliency-and-recovery-plan-1
"Require access-limited communities to have a right-of-way access point that can used during an emergency (e.g., a greenway with bollards that lower for driving when flood occurs).","Flooding – General,Flooding – Rainfall-induced",Transportation and Mobility,Planning & Management,"""Redundancy of routes, adaptive capacity""","Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Require accounting of sea level rise in all new development applications in shoreline areas.,Flooding – Coastal,Property,"""Policy, Codes, & Standards""",Building Codes,Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
"Require and incentivize pervious materials in new construction/maintenance to ensure aquifers are restored during rain events, as opposed to generating runoff due to hard stormwater infrastructure.",Drought,Property,"""Policy, Codes, & Standards""",Building Codes,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Require and maintain safe access for fire apparatus in areas near wildfire-prone neighborhoods and properties. ,Wildfire,"Critical Facilities,Property","""Policy, Codes, & Standards""",Building Codes,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Require design that exceeds minimum standards for critical facility construction.,Flooding – General,Critical Facilities,"""Policy, Codes, & Standards""",Building Codes,City of Baltimore Disaster Preparedness and Planning Project,https://www.baltimoresustainability.org/wp-content/uploads/2019/10/2018-DP3-For-Print.pdf,https://toolkit.climate.gov/case-studies/city-baltimore-disaster-preparedness-and-planning-project-1
"Require fire-safe protective site design (e.g., leave fire-breaks around structures such as as parking lots or lawns).",Wildfire,Property,"""Policy, Codes, & Standards""",Building Codes,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
"Require floodproofing as a condition of a certificate of occupancy for structures in the floodplain, for example, when renovation costs are 25% of the value of building.","Flooding – Coastal,Flooding – General,Flooding – Rainfall-induced",Property,Capital Improvements - Green & Gray Infrastructure,Adaptive Capacity of Buildings,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Require higher stormwater treatment design standards for water quality related to outputs and surface water assets.,Water Quality,"Aquatic and Marine Resources,Water Infrastructure – Stormwater","""Policy, Codes, & Standards""",Building Codes,"West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
Require hydrologic matching before and after new developments for commercial properties.,"Flooding – General,Flooding – Rainfall-induced",Property,"""Policy, Codes, & Standards""",Building Codes,"Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Require increased buffers and stream flooding capacity for stream restoration projects. ,"Flooding – General,Flooding – Rainfall-induced","Water Infrastructure – Wastewater,Natural Areas and Wildlife","""Policy, Codes, & Standards""",Building Codes,"Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Require new public facilities to be located outside of areas susceptible to sea level rise and increased coastal flooding. ,"Erosion and Shoreline Recession,Flooding – Coastal",Property,"""Policy, Codes, & Standards""",Building Codes,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
"Require or incentivize additional stormwater detention efforts (e.g., green streets, swales, underground storage tanks).","Flooding – General,Flooding – Rainfall-induced",Water Infrastructure – Stormwater,"""Policy, Codes, & Standards""",Building Codes,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Require that all critical public facilities be built at least three feet above the base flood elevation or above the 500-year floodplain. ,"Flooding – Coastal,Flooding – General",Critical Facilities,"""Policy, Codes, & Standards""",Building Codes,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Require that all publicly funded properties be energy efficient.,"Severe Winter Weather,Extreme Heat",Property,,,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
